TF gene ID, coexpression type, gene ID, PCC under C1, PCC under C2
Zm00001d026448,C1-C2+,Zm00001d051239,-0.765001,0.911644
Zm00001d026005,C1-C2+,Zm00001d025141,-0.792660,0.903774
Zm00001d026005,C1-C2+,Zm00001d005029,-0.857459,0.866220
Zm00001d026005,C1-C2+,Zm00001d015487,-0.786698,0.942801
Zm00001d049800,C1-C2+,Zm00001d049991,-0.877811,0.861430
Zm00001d006677,C1-C2+,Zm00001d029242,-0.811884,0.871715
Zm00001d021927,C1-C2+,Zm00001d025141,-0.819523,0.898223
Zm00001d021927,C1-C2+,Zm00001d005029,-0.810651,0.895688
Zm00001d021927,C1-C2+,Zm00001d012255,-0.771938,0.883743
Zm00001d021927,C1-C2+,Zm00001d011645,-0.781815,0.869180
Zm00001d021927,C1-C2+,Zm00001d035457,-0.760592,0.871318
Zm00001d021927,C1-C2+,Zm00001d016052,-0.807529,0.847647
Zm00001d027419,C1-C2+,Zm00001d025141,-0.854542,0.910461
Zm00001d027419,C1-C2+,Zm00001d038863,-0.837649,0.862758
Zm00001d027419,C1-C2+,Zm00001d018158,-0.750577,0.847233
Zm00001d027419,C1-C2+,Zm00001d014201,-0.802071,0.897358
Zm00001d027419,C1-C2+,Zm00001d012255,-0.888986,0.882789
Zm00001d028504,C1-C2+,Zm00001d025477,-0.778813,0.852211
Zm00001d028504,C1-C2+,Zm00001d005029,-0.839551,0.848234
Zm00001d028504,C1-C2+,Zm00001d029242,-0.852150,0.868516
Zm00001d032213,C1-C2+,Zm00001d025141,-0.847737,0.861549
Zm00001d032213,C1-C2+,Zm00001d029242,-0.759829,0.855808
Zm00001d034596,C1-C2+,Zm00001d025141,-0.846208,0.886208
Zm00001d034596,C1-C2+,Zm00001d014201,-0.784764,0.877200
Zm00001d024522,C1-C2+,Zm00001d021826,-0.753394,0.879320
Zm00001d025141,C1-C2+,Zm00001d026005,-0.792660,0.903774
Zm00001d025141,C1-C2+,Zm00001d021927,-0.819523,0.898223
Zm00001d025141,C1-C2+,Zm00001d027419,-0.854542,0.910461
Zm00001d025141,C1-C2+,Zm00001d032213,-0.847737,0.861549
Zm00001d025141,C1-C2+,Zm00001d034596,-0.846208,0.886208
Zm00001d025141,C1-C2+,Zm00001d043699,-0.822834,0.935162
Zm00001d025141,C1-C2+,Zm00001d050394,-0.783044,0.901235
Zm00001d025141,C1-C2+,Zm00001d017138,-0.753167,0.848812
Zm00001d025141,C1-C2+,Zm00001d039383,-0.786488,0.976882
Zm00001d025141,C1-C2+,Zm00001d028537,-0.795139,0.941408
Zm00001d025141,C1-C2+,Zm00001d036297,-0.752087,0.853186
Zm00001d025141,C1-C2+,Zm00001d003162,-0.858062,0.970167
Zm00001d025141,C1-C2+,Zm00001d025957,-0.751763,0.840657
Zm00001d025141,C1-C2+,Zm00001d012963,-0.821744,0.849365
Zm00001d025141,C1-C2+,Zm00001d017788,-0.849841,0.928618
Zm00001d025141,C1-C2+,Zm00001d038693,-0.769758,0.984266
Zm00001d025141,C1-C2+,Zm00001d010740,-0.895230,0.978387
Zm00001d025141,C1-C2+,Zm00001d044899,-0.879289,0.939638
Zm00001d025141,C1-C2+,Zm00001d043837,-0.782971,0.992565
Zm00001d025141,C1-C2+,Zm00001d038270,-0.822847,0.872521
Zm00001d025141,C1-C2+,Zm00001d038338,-0.765941,0.963799
Zm00001d025141,C1-C2+,Zm00001d030737,-0.849240,0.848726
Zm00001d025141,C1-C2+,Zm00001d042580,-0.794995,0.981360
Zm00001d025141,C1-C2+,Zm00001d018806,-0.814114,0.943149
Zm00001d025141,C1-C2+,Zm00001d025896,-0.893392,0.980812
Zm00001d043699,C1-C2+,Zm00001d025141,-0.822834,0.935162
Zm00001d043699,C1-C2+,Zm00001d025477,-0.762240,0.889876
Zm00001d043699,C1-C2+,Zm00001d011645,-0.828542,0.863731
Zm00001d043699,C1-C2+,Zm00001d016052,-0.778328,0.846887
Zm00001d044216,C1-C2+,Zm00001d053775,-0.849543,0.843309
Zm00001d044242,C1-C2+,Zm00001d014201,-0.784689,0.948203
Zm00001d050394,C1-C2+,Zm00001d025141,-0.783044,0.901235
Zm00001d017138,C1-C2+,Zm00001d025141,-0.753167,0.848812
Zm00001d018119,C1-C2+,Zm00001d038863,-0.808752,0.878214
Zm00001d038863,C1-C2+,Zm00001d027419,-0.837649,0.862758
Zm00001d038863,C1-C2+,Zm00001d018119,-0.808752,0.878214
Zm00001d038863,C1-C2+,Zm00001d044546,-0.761425,0.952666
Zm00001d038863,C1-C2+,Zm00001d039383,-0.828538,0.953538
Zm00001d038863,C1-C2+,Zm00001d028537,-0.775364,0.891327
Zm00001d038863,C1-C2+,Zm00001d045661,-0.750180,0.952083
Zm00001d038863,C1-C2+,Zm00001d003162,-0.760138,0.961451
Zm00001d038863,C1-C2+,Zm00001d010740,-0.757549,0.965429
Zm00001d038863,C1-C2+,Zm00001d045398,-0.754395,0.920847
Zm00001d038863,C1-C2+,Zm00001d038338,-0.853833,0.938351
Zm00001d038863,C1-C2+,Zm00001d018806,-0.823852,0.926247
Zm00001d038863,C1-C2+,Zm00001d025896,-0.752829,0.975840
Zm00001d047878,C1-C2+,Zm00001d005029,-0.819079,0.904915
Zm00001d047878,C1-C2+,Zm00001d029242,-0.760717,0.931062
Zm00001d017677,C1-C2+,Zm00001d025477,-0.751489,0.858363
Zm00001d017677,C1-C2+,Zm00001d005029,-0.782809,0.855016
Zm00001d017677,C1-C2+,Zm00001d029242,-0.769474,0.860011
Zm00001d044546,C1-C2+,Zm00001d038863,-0.761425,0.952666
Zm00001d039383,C1-C2+,Zm00001d025141,-0.786488,0.976882
Zm00001d039383,C1-C2+,Zm00001d038863,-0.828538,0.953538
Zm00001d039383,C1-C2+,Zm00001d012255,-0.810204,0.944375
Zm00001d039383,C1-C2+,Zm00001d029505,-0.822271,0.872747
Zm00001d039383,C1-C2+,Zm00001d035457,-0.802469,0.899652
Zm00001d005871,C1-C2+,Zm00001d025477,-0.773212,0.854082
Zm00001d005871,C1-C2+,Zm00001d014201,-0.774034,0.859880
Zm00001d021386,C1-C2+,Zm00001d025477,-0.789484,0.904599
Zm00001d021386,C1-C2+,Zm00001d051239,-0.776518,0.885274
Zm00001d021386,C1-C2+,Zm00001d016052,-0.770809,0.844527
Zm00001d028537,C1-C2+,Zm00001d025141,-0.795139,0.941408
Zm00001d028537,C1-C2+,Zm00001d038863,-0.775364,0.891327
Zm00001d028537,C1-C2+,Zm00001d005029,-0.806039,0.897686
Zm00001d028537,C1-C2+,Zm00001d012255,-0.790282,0.916630
Zm00001d036297,C1-C2+,Zm00001d025141,-0.752087,0.853186
Zm00001d036297,C1-C2+,Zm00001d015487,-0.772749,0.874440
Zm00001d044261,C1-C2+,Zm00001d008919,-0.774789,0.860414
Zm00001d047976,C1-C2+,Zm00001d014201,-0.754407,0.844206
Zm00001d053682,C1-C2+,Zm00001d049991,-0.790334,0.913549
Zm00001d045661,C1-C2+,Zm00001d038863,-0.750180,0.952083
Zm00001d003162,C1-C2+,Zm00001d025141,-0.858062,0.970167
Zm00001d003162,C1-C2+,Zm00001d038863,-0.760138,0.961451
Zm00001d003162,C1-C2+,Zm00001d012703,-0.859519,0.870834
Zm00001d003162,C1-C2+,Zm00001d012255,-0.846910,0.953965
Zm00001d003162,C1-C2+,Zm00001d029505,-0.828726,0.898204
Zm00001d045323,C1-C2+,Zm00001d029020,-0.956184,0.865496
Zm00001d025957,C1-C2+,Zm00001d025141,-0.751763,0.840657
Zm00001d025957,C1-C2+,Zm00001d051239,-0.807352,0.841243
Zm00001d025957,C1-C2+,Zm00001d005029,-0.831924,0.859396
Zm00001d025957,C1-C2+,Zm00001d029242,-0.785134,0.867175
Zm00001d012963,C1-C2+,Zm00001d025141,-0.821744,0.849365
Zm00001d012963,C1-C2+,Zm00001d025477,-0.846335,0.845234
Zm00001d012963,C1-C2+,Zm00001d037941,-0.764362,0.873662
Zm00001d012963,C1-C2+,Zm00001d005029,-0.883747,0.848266
Zm00001d012963,C1-C2+,Zm00001d029242,-0.854616,0.861372
Zm00001d017788,C1-C2+,Zm00001d025141,-0.849841,0.928618
Zm00001d017788,C1-C2+,Zm00001d029242,-0.780161,0.866917
Zm00001d038693,C1-C2+,Zm00001d025141,-0.769758,0.984266
Zm00001d038693,C1-C2+,Zm00001d025477,-0.794630,0.951439
Zm00001d038693,C1-C2+,Zm00001d051239,-0.864527,0.952477
Zm00001d038693,C1-C2+,Zm00001d005029,-0.838080,0.941997
Zm00001d038693,C1-C2+,Zm00001d029242,-0.750075,0.985490
Zm00001d038693,C1-C2+,Zm00001d011645,-0.795479,0.939227
Zm00001d038693,C1-C2+,Zm00001d029505,-0.770428,0.893290
Zm00001d038693,C1-C2+,Zm00001d016052,-0.827848,0.877273
Zm00001d010740,C1-C2+,Zm00001d025141,-0.895230,0.978387
Zm00001d010740,C1-C2+,Zm00001d038863,-0.757549,0.965429
Zm00001d010740,C1-C2+,Zm00001d012703,-0.918289,0.854444
Zm00001d010740,C1-C2+,Zm00001d005029,-0.791375,0.939976
Zm00001d010740,C1-C2+,Zm00001d012255,-0.841248,0.950587
Zm00001d010740,C1-C2+,Zm00001d011645,-0.819356,0.934196
Zm00001d010740,C1-C2+,Zm00001d029505,-0.877231,0.883089
Zm00001d010740,C1-C2+,Zm00001d035457,-0.827842,0.907083
Zm00001d010740,C1-C2+,Zm00001d016052,-0.811524,0.875119
Zm00001d011058,C1-C2+,Zm00001d025477,-0.794952,0.874363
Zm00001d011058,C1-C2+,Zm00001d014201,-0.787240,0.942841
Zm00001d012703,C1-C2+,Zm00001d003162,-0.859519,0.870834
Zm00001d012703,C1-C2+,Zm00001d010740,-0.918289,0.854444
Zm00001d012703,C1-C2+,Zm00001d025896,-0.775317,0.866980
Zm00001d032741,C1-C2+,Zm00001d029242,-0.758354,0.988558
Zm00001d032741,C1-C2+,Zm00001d015614,-0.821680,0.990104
Zm00001d025477,C1-C2+,Zm00001d028504,-0.778813,0.852211
Zm00001d025477,C1-C2+,Zm00001d043699,-0.762240,0.889876
Zm00001d025477,C1-C2+,Zm00001d017677,-0.751489,0.858363
Zm00001d025477,C1-C2+,Zm00001d005871,-0.773212,0.854082
Zm00001d025477,C1-C2+,Zm00001d021386,-0.789484,0.904599
Zm00001d025477,C1-C2+,Zm00001d012963,-0.846335,0.845234
Zm00001d025477,C1-C2+,Zm00001d038693,-0.794630,0.951439
Zm00001d025477,C1-C2+,Zm00001d011058,-0.794952,0.874363
Zm00001d025477,C1-C2+,Zm00001d040423,-0.756190,0.894680
Zm00001d018158,C1-C2+,Zm00001d027419,-0.750577,0.847233
Zm00001d018158,C1-C2+,Zm00001d044899,-0.764717,0.920317
Zm00001d018158,C1-C2+,Zm00001d025896,-0.777497,0.971066
Zm00001d051239,C1-C2+,Zm00001d026448,-0.765001,0.911644
Zm00001d051239,C1-C2+,Zm00001d021386,-0.776518,0.885274
Zm00001d051239,C1-C2+,Zm00001d025957,-0.807352,0.841243
Zm00001d051239,C1-C2+,Zm00001d038693,-0.864527,0.952477
Zm00001d051239,C1-C2+,Zm00001d040423,-0.813202,0.864940
Zm00001d051355,C1-C2+,Zm00001d052798,-0.753997,0.915301
Zm00001d052152,C1-C2+,Zm00001d029242,-0.830890,0.852368
Zm00001d052152,C1-C2+,Zm00001d015614,-0.760968,0.911234
Zm00001d045120,C1-C2+,Zm00001d014201,-0.769272,0.855747
Zm00001d037941,C1-C2+,Zm00001d012963,-0.764362,0.873662
Zm00001d029020,C1-C2+,Zm00001d045323,-0.956184,0.865496
Zm00001d019536,C1-C2+,Zm00001d043131,-0.772279,0.868685
Zm00001d049991,C1-C2+,Zm00001d049800,-0.877811,0.861430
Zm00001d049991,C1-C2+,Zm00001d053682,-0.790334,0.913549
Zm00001d051461,C1-C2+,Zm00001d038338,-0.787737,0.950828
Zm00001d021826,C1-C2+,Zm00001d024522,-0.753394,0.879320
Zm00001d021826,C1-C2+,Zm00001d020874,-0.833992,0.842192
Zm00001d005029,C1-C2+,Zm00001d026005,-0.857459,0.866220
Zm00001d005029,C1-C2+,Zm00001d021927,-0.810651,0.895688
Zm00001d005029,C1-C2+,Zm00001d028504,-0.839551,0.848234
Zm00001d005029,C1-C2+,Zm00001d047878,-0.819079,0.904915
Zm00001d005029,C1-C2+,Zm00001d017677,-0.782809,0.855016
Zm00001d005029,C1-C2+,Zm00001d028537,-0.806039,0.897686
Zm00001d005029,C1-C2+,Zm00001d025957,-0.831924,0.859396
Zm00001d005029,C1-C2+,Zm00001d012963,-0.883747,0.848266
Zm00001d005029,C1-C2+,Zm00001d038693,-0.838080,0.941997
Zm00001d005029,C1-C2+,Zm00001d010740,-0.791375,0.939976
Zm00001d005029,C1-C2+,Zm00001d044899,-0.775745,0.920034
Zm00001d005029,C1-C2+,Zm00001d043837,-0.826733,0.920779
Zm00001d005029,C1-C2+,Zm00001d038270,-0.803004,0.847445
Zm00001d005029,C1-C2+,Zm00001d030737,-0.810847,0.868026
Zm00001d005029,C1-C2+,Zm00001d042580,-0.758459,0.917653
Zm00001d005029,C1-C2+,Zm00001d032177,-0.777475,0.912774
Zm00001d033876,C1-C2+,Zm00001d051114,-0.759594,0.860791
Zm00001d052133,C1-C2+,Zm00001d014201,-0.808955,0.933595
Zm00001d018225,C1-C2+,Zm00001d014201,-0.777862,0.945149
Zm00001d014201,C1-C2+,Zm00001d027419,-0.802071,0.897358
Zm00001d014201,C1-C2+,Zm00001d034596,-0.784764,0.877200
Zm00001d014201,C1-C2+,Zm00001d044242,-0.784689,0.948203
Zm00001d014201,C1-C2+,Zm00001d005871,-0.774034,0.859880
Zm00001d014201,C1-C2+,Zm00001d047976,-0.754407,0.844206
Zm00001d014201,C1-C2+,Zm00001d011058,-0.787240,0.942841
Zm00001d014201,C1-C2+,Zm00001d045120,-0.769272,0.855747
Zm00001d014201,C1-C2+,Zm00001d052133,-0.808955,0.933595
Zm00001d014201,C1-C2+,Zm00001d018225,-0.777862,0.945149
Zm00001d014201,C1-C2+,Zm00001d024701,-0.796175,0.862121
Zm00001d014201,C1-C2+,Zm00001d030737,-0.762184,0.928558
Zm00001d014201,C1-C2+,Zm00001d040621,-0.765022,0.880084
Zm00001d014201,C1-C2+,Zm00001d021296,-0.821239,0.945051
Zm00001d014201,C1-C2+,Zm00001d006451,-0.778647,0.908296
Zm00001d014201,C1-C2+,Zm00001d018806,-0.777457,0.870374
Zm00001d014201,C1-C2+,Zm00001d012725,-0.772397,0.873571
Zm00001d014201,C1-C2+,Zm00001d013409,-0.797377,0.872951
Zm00001d045398,C1-C2+,Zm00001d038863,-0.754395,0.920847
Zm00001d024701,C1-C2+,Zm00001d014201,-0.796175,0.862121
Zm00001d044899,C1-C2+,Zm00001d025141,-0.879289,0.939638
Zm00001d044899,C1-C2+,Zm00001d018158,-0.764717,0.920317
Zm00001d044899,C1-C2+,Zm00001d005029,-0.775745,0.920034
Zm00001d044899,C1-C2+,Zm00001d012255,-0.822459,0.941780
Zm00001d044899,C1-C2+,Zm00001d029505,-0.783853,0.846664
Zm00001d029242,C1-C2+,Zm00001d006677,-0.811884,0.871715
Zm00001d029242,C1-C2+,Zm00001d028504,-0.852150,0.868516
Zm00001d029242,C1-C2+,Zm00001d032213,-0.759829,0.855808
Zm00001d029242,C1-C2+,Zm00001d047878,-0.760717,0.931062
Zm00001d029242,C1-C2+,Zm00001d017677,-0.769474,0.860011
Zm00001d029242,C1-C2+,Zm00001d025957,-0.785134,0.867175
Zm00001d029242,C1-C2+,Zm00001d012963,-0.854616,0.861372
Zm00001d029242,C1-C2+,Zm00001d017788,-0.780161,0.866917
Zm00001d029242,C1-C2+,Zm00001d038693,-0.750075,0.985490
Zm00001d029242,C1-C2+,Zm00001d032741,-0.758354,0.988558
Zm00001d029242,C1-C2+,Zm00001d052152,-0.830890,0.852368
Zm00001d034669,C1-C2+,Zm00001d044825,-0.759060,0.871268
Zm00001d043837,C1-C2+,Zm00001d025141,-0.782971,0.992565
Zm00001d043837,C1-C2+,Zm00001d005029,-0.826733,0.920779
Zm00001d038270,C1-C2+,Zm00001d025141,-0.822847,0.872521
Zm00001d038270,C1-C2+,Zm00001d005029,-0.803004,0.847445
Zm00001d038270,C1-C2+,Zm00001d015487,-0.757104,0.932636
Zm00001d038338,C1-C2+,Zm00001d025141,-0.765941,0.963799
Zm00001d038338,C1-C2+,Zm00001d038863,-0.853833,0.938351
Zm00001d038338,C1-C2+,Zm00001d051461,-0.787737,0.950828
Zm00001d038338,C1-C2+,Zm00001d012255,-0.799778,0.948212
Zm00001d038338,C1-C2+,Zm00001d029505,-0.765022,0.855944
Zm00001d038338,C1-C2+,Zm00001d035457,-0.776396,0.883010
Zm00001d012255,C1-C2+,Zm00001d021927,-0.771938,0.883743
Zm00001d012255,C1-C2+,Zm00001d027419,-0.888986,0.882789
Zm00001d012255,C1-C2+,Zm00001d039383,-0.810204,0.944375
Zm00001d012255,C1-C2+,Zm00001d028537,-0.790282,0.916630
Zm00001d012255,C1-C2+,Zm00001d003162,-0.846910,0.953965
Zm00001d012255,C1-C2+,Zm00001d010740,-0.841248,0.950587
Zm00001d012255,C1-C2+,Zm00001d044899,-0.822459,0.941780
Zm00001d012255,C1-C2+,Zm00001d038338,-0.799778,0.948212
Zm00001d012255,C1-C2+,Zm00001d030737,-0.797339,0.869634
Zm00001d012255,C1-C2+,Zm00001d042580,-0.759844,0.913077
Zm00001d012255,C1-C2+,Zm00001d033898,-0.751463,0.884803
Zm00001d012255,C1-C2+,Zm00001d018806,-0.824478,0.935711
Zm00001d012255,C1-C2+,Zm00001d025896,-0.860038,0.946835
Zm00001d011645,C1-C2+,Zm00001d021927,-0.781815,0.869180
Zm00001d011645,C1-C2+,Zm00001d043699,-0.828542,0.863731
Zm00001d011645,C1-C2+,Zm00001d038693,-0.795479,0.939227
Zm00001d011645,C1-C2+,Zm00001d010740,-0.819356,0.934196
Zm00001d011645,C1-C2+,Zm00001d040423,-0.816895,0.849644
Zm00001d011645,C1-C2+,Zm00001d018806,-0.755664,0.904466
Zm00001d043131,C1-C2+,Zm00001d019536,-0.772279,0.868685
Zm00001d015614,C1-C2+,Zm00001d032741,-0.821680,0.990104
Zm00001d015614,C1-C2+,Zm00001d052152,-0.760968,0.911234
Zm00001d030737,C1-C2+,Zm00001d025141,-0.849240,0.848726
Zm00001d030737,C1-C2+,Zm00001d005029,-0.810847,0.868026
Zm00001d030737,C1-C2+,Zm00001d014201,-0.762184,0.928558
Zm00001d030737,C1-C2+,Zm00001d012255,-0.797339,0.869634
Zm00001d035605,C1-C2+,Zm00001d015487,-0.750646,0.865070
Zm00001d040423,C1-C2+,Zm00001d025477,-0.756190,0.894680
Zm00001d040423,C1-C2+,Zm00001d051239,-0.813202,0.864940
Zm00001d040423,C1-C2+,Zm00001d011645,-0.816895,0.849644
Zm00001d040423,C1-C2+,Zm00001d016052,-0.751763,0.858821
Zm00001d040621,C1-C2+,Zm00001d014201,-0.765022,0.880084
Zm00001d015487,C1-C2+,Zm00001d026005,-0.786698,0.942801
Zm00001d015487,C1-C2+,Zm00001d036297,-0.772749,0.874440
Zm00001d015487,C1-C2+,Zm00001d038270,-0.757104,0.932636
Zm00001d015487,C1-C2+,Zm00001d035605,-0.750646,0.865070
Zm00001d015487,C1-C2+,Zm00001d031454,-0.766536,0.889777
Zm00001d015487,C1-C2+,Zm00001d042580,-0.750748,0.957370
Zm00001d031454,C1-C2+,Zm00001d015487,-0.766536,0.889777
Zm00001d021296,C1-C2+,Zm00001d014201,-0.821239,0.945051
Zm00001d042580,C1-C2+,Zm00001d025141,-0.794995,0.981360
Zm00001d042580,C1-C2+,Zm00001d005029,-0.758459,0.917653
Zm00001d042580,C1-C2+,Zm00001d012255,-0.759844,0.913077
Zm00001d042580,C1-C2+,Zm00001d015487,-0.750748,0.957370
Zm00001d029505,C1-C2+,Zm00001d039383,-0.822271,0.872747
Zm00001d029505,C1-C2+,Zm00001d003162,-0.828726,0.898204
Zm00001d029505,C1-C2+,Zm00001d038693,-0.770428,0.893290
Zm00001d029505,C1-C2+,Zm00001d010740,-0.877231,0.883089
Zm00001d029505,C1-C2+,Zm00001d044899,-0.783853,0.846664
Zm00001d029505,C1-C2+,Zm00001d038338,-0.765022,0.855944
Zm00001d029505,C1-C2+,Zm00001d018806,-0.862902,0.853521
Zm00001d029505,C1-C2+,Zm00001d025896,-0.833303,0.895487
Zm00001d020874,C1-C2+,Zm00001d021826,-0.833992,0.842192
Zm00001d044825,C1-C2+,Zm00001d034669,-0.759060,0.871268
Zm00001d051114,C1-C2+,Zm00001d033876,-0.759594,0.860791
Zm00001d053775,C1-C2+,Zm00001d044216,-0.849543,0.843309
Zm00001d006451,C1-C2+,Zm00001d014201,-0.778647,0.908296
Zm00001d033898,C1-C2+,Zm00001d012255,-0.751463,0.884803
Zm00001d018806,C1-C2+,Zm00001d025141,-0.814114,0.943149
Zm00001d018806,C1-C2+,Zm00001d038863,-0.823852,0.926247
Zm00001d018806,C1-C2+,Zm00001d014201,-0.777457,0.870374
Zm00001d018806,C1-C2+,Zm00001d012255,-0.824478,0.935711
Zm00001d018806,C1-C2+,Zm00001d011645,-0.755664,0.904466
Zm00001d018806,C1-C2+,Zm00001d029505,-0.862902,0.853521
Zm00001d018806,C1-C2+,Zm00001d035457,-0.846830,0.895458
Zm00001d025896,C1-C2+,Zm00001d025141,-0.893392,0.980812
Zm00001d025896,C1-C2+,Zm00001d038863,-0.752829,0.975840
Zm00001d025896,C1-C2+,Zm00001d012703,-0.775317,0.866980
Zm00001d025896,C1-C2+,Zm00001d018158,-0.777497,0.971066
Zm00001d025896,C1-C2+,Zm00001d012255,-0.860038,0.946835
Zm00001d025896,C1-C2+,Zm00001d029505,-0.833303,0.895487
Zm00001d012725,C1-C2+,Zm00001d014201,-0.772397,0.873571
Zm00001d008919,C1-C2+,Zm00001d044261,-0.774789,0.860414
Zm00001d052798,C1-C2+,Zm00001d051355,-0.753997,0.915301
Zm00001d035457,C1-C2+,Zm00001d021927,-0.760592,0.871318
Zm00001d035457,C1-C2+,Zm00001d039383,-0.802469,0.899652
Zm00001d035457,C1-C2+,Zm00001d010740,-0.827842,0.907083
Zm00001d035457,C1-C2+,Zm00001d038338,-0.776396,0.883010
Zm00001d035457,C1-C2+,Zm00001d018806,-0.846830,0.895458
Zm00001d016052,C1-C2+,Zm00001d021927,-0.807529,0.847647
Zm00001d016052,C1-C2+,Zm00001d043699,-0.778328,0.846887
Zm00001d016052,C1-C2+,Zm00001d021386,-0.770809,0.844527
Zm00001d016052,C1-C2+,Zm00001d038693,-0.827848,0.877273
Zm00001d016052,C1-C2+,Zm00001d010740,-0.811524,0.875119
Zm00001d016052,C1-C2+,Zm00001d040423,-0.751763,0.858821
Zm00001d032177,C1-C2+,Zm00001d005029,-0.777475,0.912774
Zm00001d013409,C1-C2+,Zm00001d014201,-0.797377,0.872951
